"c";"name";"l";"lat";"lon";"X";"Y";"s"
"267";"Bonneuil_Port_Autonome_DCS";"8704";48.77991690825798;2.4775114793953734;"610368";"2420173";"4023"
"269";"Rungis_La_Fraternelle_1";"25600";48.74240152609298;2.351048703903964;"601070";"2415990";"3625"
"270";"Rungis_La_Fraternelle_1";"25600";48.74240152609298;2.351048703903964;"601070";"2415990";"3625"
"271";"Rungis_La_Fraternelle_1";"25600";48.74240152609298;2.351048703903964;"601070";"2415990";"3625"
"273";"ST_PRYVE_ST_MESMIN_SUD_4";"776";47.88193242708441;1.8685230362445586;"564994";"2320390";"2606"
"278";"Orly_Sud_Pistes_Ouest_1";"8960";48.727945359319754;2.3672398574126947;"602262";"2414382";"3690"
"283";"LOCMARIA_PLOUZANE_1";"9731";48.35923643756225;-4.632860232974265;"84073";"2396260";"8"
"288";"Orly_Sud_Pistes_Ouest_1";"8960";48.727945359319754;2.3672398574126947;"602262";"2414382";"3690"
"301";"Rungis_La_Fraternelle_2";"25600";48.74240152609298;2.351048703903964;"601070";"2415990";"3625"
"302";"Rungis_La_Fraternelle_2";"25600";48.74240152609298;2.351048703903964;"601070";"2415990";"3625"
"303";"Rungis_La_Fraternelle_2";"25600";48.74240152609298;2.351048703903964;"601070";"2415990";"3625"
"304";"Orly_Sud_Pistes_Ouest_2";"8960";48.727945359319754;2.3672398574126947;"602262";"2414382";"3690"
"310";"ST_PRYVE_ST_MESMIN_SUD_4";"776";47.88193242708441;1.8685230362445586;"564994";"2320390";"2606"
"311";"ST_PRYVE_ST_MESMIN_SUD_4";"776";47.88193242708441;1.8685230362445586;"564994";"2320390";"2606"
"316";"LOCMARIA_PLOUZANE_1";"9731";48.35923643756225;-4.632860232974265;"84073";"2396260";"8"
"321";"Orly_Sud_Pistes_Ouest_2";"8960";48.727945359319754;2.3672398574126947;"602262";"2414382";"3690"
"324";"Parc_De_Versailles_2_1";"14338";48.79570797486129;2.1001751664484742;"582628";"2421947";"2900"
